Fase;Kelas;Semester;Elemen/Bab;Capaian Pembelajaran (CP Panjang);Tujuan Pembelajaran (TP);8 Dimensi Profil Lulusan
Fase E;10;Genap;Akhlak / Bab 8;Peserta didik menganalisis manfaat menghindari akhlak tercela (pergaulan bebas, zina) dan membiasakan akhlak terpuji.;Peserta didik mampu menganalisis penerapan sikap syaja'ah yang beradab di tengah masyarakat.;Penalaran Kritis, Kewargaan
Fase E;10;Genap;Akhlak / Bab 8;Peserta didik menganalisis manfaat menghindari akhlak tercela (pergaulan bebas, zina) dan membiasakan akhlak terpuji.;Peserta didik mampu menunjukkan keberanian dalam menegakkan kejujuran dan menjaga etika di media sosial (etika digital).;Kemandirian, Komunikasi
Fase E;10;Genap;Fikih / Bab 9;Peserta didik mampu menganalisis implementasi fikih muamalah, al-kulliyyat al-khamsah, serta ketentuan haji dan wakaf.;Peserta didik mampu menguraikan syarat, rukun, wajib, dan sunah pelaksanaan ibadah haji dan umrah.;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
Fase E;10;Genap;Fikih / Bab 9;Peserta didik mampu menganalisis implementasi fikih muamalah, al-kulliyyat al-khamsah, serta ketentuan haji dan wakaf.;Peserta didik mampu menganalisis ketentuan pengelolaan harta wakaf dan manfaatnya bagi kesejahteraan umat.;Penalaran Kritis, Kewargaan
Fase E;10;Genap;Fikih / Bab 9;Peserta didik mampu menganalisis implementasi fikih muamalah, al-kulliyyat al-khamsah, serta ketentuan haji dan wakaf.;Peserta didik mampu menyimulasikan tata cara manasik haji dan mengkampanyekan pentingnya berwakaf.;Kolaborasi, Kreativitas
Fase E;10;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik mampu menganalisis sejarah dakwah Rasulullah saw. di Makkah dan Madinah, serta perkembangan peradaban Islam di masa keemasan.;Peserta didik mampu mendeskripsikan periode keemasan peradaban Islam (Golden Age) di Andalusia dan Baghdad.;Komunikasi, Penalaran Kritis
Fase E;10;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik mampu menganalisis sejarah dakwah Rasulullah saw. di Makkah dan Madinah, serta perkembangan peradaban Islam di masa keemasan.;Peserta didik mampu menelaah kontribusi para ilmuwan muslim (seperti Ibnu Sina, Al-Khawarizmi) terhadap peradaban dunia.;Penalaran Kritis, Kewargaan
Fase E;10;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik mampu menganalisis sejarah dakwah Rasulullah saw. di Makkah dan Madinah, serta perkembangan peradaban Islam di masa keemasan.;Peserta didik mampu termotivasi untuk mengembangkan inovasi dan literasi sains dengan meneladani ilmuwan muslim.;Kreativitas, Kemandirian
Fase F;11;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu membaca dan menghafal ayat Al-Qur'an tentang karakteristik Ulil Albab (orang yang berpikir kritis).;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase F;11;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu menganalisis pentingnya berpikir kritis dalam merespons perkembangan Ilmu Pengetahuan dan Teknologi (Iptek).;Penalaran Kritis, Kreativitas
Fase F;11;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu mempresentasikan karya/gagasan inovatif yang selaras dengan nilai-nilai tauhid.;Komunikasi, Kreativitas
Fase F;11;Ganjil;Akidah / Bab 2;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu mengidentifikasi latar belakang munculnya berbagai aliran teologi (ilmu kalam) dalam sejarah Islam.;Penalaran Kritis, Kewargaan
Fase F;11;Ganjil;Akidah / Bab 2;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu membedakan pemikiran dari aliran-aliran seperti Khawarij, Murji'ah, Mu'tazilah, dan Ahlussunnah wal Jama'ah.;Penalaran Kritis, Kemandirian
Fase F;11;Ganjil;Akidah / Bab 2;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu menumbuhkan sikap toleransi (tasamuh) menyikapi perbedaan pendapat (ikhtilaf) internal umat Islam.;Kewargaan, Kolaborasi
Fase F;11;Ganjil;Akhlak / Bab 3;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu menganalisis faktor penyebab dan dampak perilaku menyimpang (seperti penyalahgunaan narkoba, miras, judi).;Penalaran Kritis, Kesehatan
Fase F;11;Ganjil;Akhlak / Bab 3;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu merancang kampanye edukatif untuk mencegah bahaya narkoba dan perkelahian pelajar di sekolah.;Kreativitas, Kolaborasi
Fase F;11;Ganjil;Akhlak / Bab 3;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu membentengi diri dari pengaruh negatif lingkungan demi menjaga kesehatan fisik dan akal.;Kesehatan, Kemandirian
Fase F;11;Ganjil;Fikih / Bab 4;Peserta didik menganalisis ketentuan khotbah, tablig, dakwah, hukum keluarga Islam (pernikahan), dan hukum waris (mawaris).;Peserta didik mampu menjelaskan perbedaan syarat, rukun, dan ketentuan antara khotbah, tablig, dan dakwah.;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
Fase F;11;Ganjil;Fikih / Bab 4;Peserta didik menganalisis ketentuan khotbah, tablig, dakwah, hukum keluarga Islam (pernikahan), dan hukum waris (mawaris).;Peserta didik mampu menyusun naskah khotbah Jumat atau materi dakwah singkat yang moderat.;Kreativitas, Komunikasi
Fase F;11;Ganjil;Fikih / Bab 4;Peserta didik menganalisis ketentuan khotbah, tablig, dakwah, hukum keluarga Islam (pernikahan), dan hukum waris (mawaris).;Peserta didik mampu mendemonstrasikan praktik khotbah atau berdakwah di depan kelas secara percaya diri.;Komunikasi, Kemandirian
Fase F;11;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik menganalisis peran tokoh ulama Islam di Indonesia, kiprah ormas Islam, dan perkembangan Islam di dunia modern.;Peserta didik mampu menelusuri peran tokoh-tokoh ulama Islam dalam menyebarkan ajaran agama di Indonesia.;Penalaran Kritis, Kewargaan
Fase F;11;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik menganalisis peran tokoh ulama Islam di Indonesia, kiprah ormas Islam, dan perkembangan Islam di dunia modern.;Peserta didik mampu menganalisis kontribusi perjuangan ulama dan santri dalam merebut dan mempertahankan kemerdekaan RI.;Penalaran Kritis, Kewargaan
Fase F;11;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik menganalisis peran tokoh ulama Islam di Indonesia, kiprah ormas Islam, dan perkembangan Islam di dunia modern.;Peserta didik mampu meneladani sikap patriotisme dan nasionalisme dari para pahlawan Islam Nusantara.;Kewargaan, Kolaborasi
Fase F;11;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu membaca ayat dan hadis tentang perintah memelihara kehidupan dan menjauhi kekerasan.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase F;11;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu menguraikan konsep moderasi beragama (wasathiyyah) berlandaskan Al-Qur'an.;Penalaran Kritis, Kewargaan
Fase F;11;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu menerapkan sikap anti-kekerasan dan menjadi pelopor perdamaian di lingkungan sekolah.;Kewargaan, Kolaborasi
Fase F;11;Genap;Akidah / Bab 7;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu menjelaskan cabang-cabang iman (Syu'abul Iman) yang berkaitan erat dengan kehidupan sosial masyarakat.;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
Fase F;11;Genap;Akidah / Bab 7;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu menganalisis dampak pengabaian syu'abul iman terhadap dekadensi (penurunan) moral bermasyarakat.;Penalaran Kritis, Kesehatan mental
Fase F;11;Genap;Akidah / Bab 7;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu mempraktikkan akhlak mulia dalam bertetangga dan bermasyarakat sebagai wujud kesempurnaan iman.;Kewargaan, Kolaborasi
Fase F;11;Genap;Akhlak / Bab 8;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu mengidentifikasi adab-adab bermasyarakat antar budaya di era globalisasi.;Penalaran Kritis, Kewargaan
Fase F;11;Genap;Akhlak / Bab 8;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu memecahkan studi kasus terkait benturan budaya atau krisis etika akibat modernisasi.;Penalaran Kritis, Kolaborasi
Fase F;11;Genap;Akhlak / Bab 8;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu menerapkan tata krama dan etika komunikasi global tanpa kehilangan identitas muslim.;Komunikasi, Kemandirian
Fase F;11;Genap;Fikih / Bab 9;Peserta didik menganalisis ketentuan khotbah, tablig, dakwah, hukum keluarga Islam (pernikahan), dan hukum waris (mawaris).;Peserta didik mampu menjelaskan konsep, dalil, dan rukun Fikih Munakahat (Pernikahan) dalam Islam.;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
Fase F;11;Genap;Fikih / Bab 9;Peserta didik menganalisis ketentuan khotbah, tablig, dakwah, hukum keluarga Islam (pernikahan), dan hukum waris (mawaris).;Peserta didik mampu menganalisis ketentuan perkawinan dalam syariat Islam dan undang-undang perkawinan di Indonesia.;Penalaran Kritis, Kewargaan
Fase F;11;Genap;Fikih / Bab 9;Peserta didik menganalisis ketentuan khotbah, tablig, dakwah, hukum keluarga Islam (pernikahan), dan hukum waris (mawaris).;Peserta didik mampu menguraikan hak dan kewajiban suami istri guna membangun keluarga yang sakinah, mawaddah, warahmah.;Kesehatan mental, Komunikasi
Fase F;11;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik menganalisis peran tokoh ulama Islam di Indonesia, kiprah ormas Islam, dan perkembangan Islam di dunia modern.;Peserta didik mampu mendeskripsikan sejarah penyebaran dan perkembangan Islam di dunia modern (Eropa, Amerika, Asia, dll).;Komunikasi, Penalaran Kritis
Fase F;11;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik menganalisis peran tokoh ulama Islam di Indonesia, kiprah ormas Islam, dan perkembangan Islam di dunia modern.;Peserta didik mampu mengevaluasi tantangan dan peluang umat Islam di berbagai belahan dunia saat ini.;Penalaran Kritis, Kewargaan
Fase F;11;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik menganalisis peran tokoh ulama Islam di Indonesia, kiprah ormas Islam, dan perkembangan Islam di dunia modern.;Peserta didik mampu memetik hikmah kebangkitan Islam modern untuk berkontribusi secara global.;Kreativitas, Kolaborasi
Fase F;12;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu membaca dan menelaah ayat Al-Qur'an tentang kewajiban bekerja keras dan tanggung jawab profesi.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase F;12;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu menyimpulkan pesan pentingnya memiliki etos kerja yang unggul, profesional, dan jujur.;Penalaran Kritis, Kemandirian
Fase F;12;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu mempraktikkan kedisiplinan dan rasa tanggung jawab dalam menyelesaikan tugas-tugas sekolah.;Kemandirian, Kolaborasi
Fase F;12;Ganjil;Akidah / Bab 2;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu merumuskan makna penyatuan komprehensif dari konsep Iman, Islam, dan Ihsan.;Penalaran Kritis, Keimanan dan Ketakwaan terhadap Tuhan YME
Fase F;12;Ganjil;Akidah / Bab 2;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu menganalisis keterkaitan tiga pilar tersebut dalam menyelesaikan problematika krisis kemanusiaan modern.;Penalaran Kritis, Kewargaan
Fase F;12;Ganjil;Akidah / Bab 2;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu menampilkan perilaku religius yang berdampak pada kesalehan sosial di masyarakat.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kolaborasi
Fase F;12;Ganjil;Akhlak / Bab 3;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu mengidentifikasi kriteria agen perubahan (agent of change) Islami yang terhindar dari sifat apatis dan hedonis.;Penalaran Kritis, Kemandirian
Fase F;12;Ganjil;Akhlak / Bab 3;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu merancang langkah nyata (projek kebaikan) untuk mengatasi penyakit sosial di lingkungan sekitarnya.;Kreativitas, Kolaborasi
Fase F;12;Ganjil;Akhlak / Bab 3;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu konsisten menjaga diri (istiqamah) dari pergaulan yang merusak moral.;Kesehatan, Kemandirian
Fase F;12;Ganjil;Fikih / Bab 4;Peserta didik menganalisis ketentuan khotbah, tablig, dakwah, hukum keluarga Islam (pernikahan), dan hukum waris (mawaris).;Peserta didik mampu menjelaskan ketentuan, dalil, dan sebab-sebab memperoleh harta warisan (Mawaris).;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
Fase F;12;Ganjil;Fikih / Bab 4;Peserta didik menganalisis ketentuan khotbah, tablig, dakwah, hukum keluarga Islam (pernikahan), dan hukum waris (mawaris).;Peserta didik mampu mengidentifikasi ahli waris beserta bagian (furudhul muqaddarah) yang diterimanya menurut syariat Islam.;Penalaran Kritis, Kemandirian
Fase F;12;Ganjil;Fikih / Bab 4;Peserta didik menganalisis ketentuan khotbah, tablig, dakwah, hukum keluarga Islam (pernikahan), dan hukum waris (mawaris).;Peserta didik mampu menghitung pembagian harta warisan secara adil berdasarkan rumus faraidl dasar.;Penalaran Kritis, Kewargaan
Fase F;12;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik menganalisis peran tokoh ulama Islam di Indonesia, kiprah ormas Islam, dan perkembangan Islam di dunia modern.;Peserta didik mampu menelaah latar belakang dan sejarah berdirinya organisasi-organisasi massa Islam di Indonesia.;Penalaran Kritis, Kewargaan
Fase F;12;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik menganalisis peran tokoh ulama Islam di Indonesia, kiprah ormas Islam, dan perkembangan Islam di dunia modern.;Peserta didik mampu menganalisis kiprah sosial, pendidikan, dan dakwah ormas Islam (seperti Muhammadiyah, NU, SI, dll).;Penalaran Kritis, Kolaborasi
Fase F;12;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik menganalisis peran tokoh ulama Islam di Indonesia, kiprah ormas Islam, dan perkembangan Islam di dunia modern.;Peserta didik mampu meneladani semangat gotong royong dan kontribusi ormas Islam dalam membangun bangsa.;Kewargaan, Kolaborasi
Fase F;12;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu mengevaluasi keberhasilan penerapan moderasi beragama (Wasathiyyah) dari ayat Al-Qur'an di kehidupan berbangsa.;Penalaran Kritis, Kewargaan
Fase F;12;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu merumuskan argumen yang menolak radikalisme dan intoleransi berlandaskan dalil Al-Qur'an.;Penalaran Kritis, Komunikasi
Fase F;12;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik menganalisis ayat Al-Qur'an dan hadis tentang berpikir kritis, ilmu pengetahuan dan teknologi, memelihara kehidupan manusia, dan moderasi beragama.;Peserta didik mampu menginisiasi ruang dialog yang inklusif untuk memperkuat persatuan (Ukhuwah Wathaniyah).;Kolaborasi, Komunikasi
Fase F;12;Genap;Akidah / Bab 7;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu mempresentasikan dampak memiliki ketauhidan yang kuat dalam menghadapi tantangan ideologi sekuler/ateis.;Komunikasi, Penalaran Kritis
Fase F;12;Genap;Akidah / Bab 7;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu memfilter informasi global yang merusak keimanan menggunakan rasio (akal sehat) dan dalil nakli.;Penalaran Kritis, Kesehatan mental
Fase F;12;Genap;Akidah / Bab 7;Peserta didik menganalisis cabang-cabang iman tingkat lanjut, aliran teologi Islam, dan keterkaitan antara iman, Islam, dan ihsan.;Peserta didik mampu tampil percaya diri dan bangga menjadi seorang muslim yang taat di kancah pergaulan global.;Kemandirian, Kewargaan
Fase F;12;Genap;Akhlak / Bab 8;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu merumuskan prinsip etika digital holistik yang mencerminkan karakter profil lulusan yang religius.;Penalaran Kritis, Kreativitas
Fase F;12;Genap;Akhlak / Bab 8;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu mengevaluasi rekam jejak digital diri sendiri dan orang lain dari perspektif hukum Islam (cyber ethics).;Penalaran Kritis, Kewargaan
Fase F;12;Genap;Akhlak / Bab 8;Peserta didik memecahkan masalah penyimpangan sosial, mempraktikkan adab bermasyarakat, dan menerapkan etika digital yang Islami.;Peserta didik mampu memproduksi konten kreatif (video, tulisan, poster) yang bernilai dakwah dan mengajak pada kebaikan.;Kreativitas, Komunikasi
