Fase;Kelas;Semester;Elemen/Bab;Capaian Pembelajaran (CP Panjang);Tujuan Pembelajaran (TP);8 Dimensi Profil Lulusan
Fase A;1;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu menghafal Surah Al-Fatihah secara utuh dan lancar.;Kemandirian, Penalaran Kritis
Fase A;1;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu membiasakan membaca Surah Al-Fatihah dalam kehidupan sehari-hari.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kesehatan
Fase A;1;Genap;Akidah / Bab 7;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu menyebutkan Asmaul Husna Al-Khaliq beserta artinya.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase A;1;Genap;Akidah / Bab 7;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu mengidentifikasi contoh-contoh ciptaan Allah di langit dan di bumi.;Penalaran Kritis, Kewargaan
Fase A;1;Genap;Akidah / Bab 7;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu menunjukkan rasa syukur atas karunia ciptaan Allah swt.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kesehatan
Fase A;1;Genap;Akhlak / Bab 8;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu mengidentifikasi adab yang baik kepada orang tua dan pendidik.;Penalaran Kritis, Kewargaan
Fase A;1;Genap;Akhlak / Bab 8;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu mencontohkan cara berbicara yang sopan dan santun kepada orang tua dan guru.;Komunikasi, Kolaborasi
Fase A;1;Genap;Akhlak / Bab 8;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu mempraktikkan sikap hormat dan patuh kepada orang tua dan guru di kehidupan nyata.;Kewargaan, Kemandirian
Fase A;1;Genap;Fikih / Bab 9;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu menjelaskan pengertian dan pentingnya bersuci (thaharah) dalam Islam.;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
Fase A;1;Genap;Fikih / Bab 9;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu mempraktikkan tata cara istinja yang benar setelah buang air.;Kesehatan, Kemandirian
Fase A;1;Genap;Fikih / Bab 9;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu mendemonstrasikan gerakan wudu secara berurutan dan tertib.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kesehatan
Fase A;1;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu menceritakan asal-usul penciptaan Nabi Adam a.s. sebagai manusia pertama.;Komunikasi, Penalaran Kritis
Fase A;1;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu menjelaskan peristiwa turunnya Nabi Adam a.s. ke bumi akibat godaan iblis.;Penalaran Kritis, Kewargaan
Fase A;1;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu meneladani sikap taubat dan meminta maaf dari kisah Nabi Adam a.s.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase A;2;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu mengidentifikasi bentuk huruf hijaiyah ketika disambung di awal, tengah, dan akhir.;Penalaran Kritis, Kemandirian
Fase A;2;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu membaca kata-kata sederhana yang terdiri dari huruf hijaiyah bersambung.;Kemandirian, Komunikasi
Fase A;2;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu menyalin tulisan huruf hijaiyah bersambung dengan rapi.;Kreativitas, Kemandirian
Fase A;2;Ganjil;Akidah / Bab 2;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu melafalkan Asmaul Husna Ar-Rahman dan Ar-Rahim beserta artinya.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase A;2;Ganjil;Akidah / Bab 2;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu menjelaskan bukti kasih sayang Allah melalui nikmat yang diberikan kepada manusia.;Penalaran Kritis, Kewargaan
Fase A;2;Ganjil;Akidah / Bab 2;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu menunjukkan sikap menyayangi sesama makhluk ciptaan Allah.;Kewargaan, Kolaborasi
Fase A;2;Ganjil;Akhlak / Bab 3;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu menjelaskan pengertian dan manfaat dari sikap jujur dan disiplin.;Penalaran Kritis, Komunikasi
Fase A;2;Ganjil;Akhlak / Bab 3;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu memberikan contoh perilaku jujur dan disiplin di rumah dan di sekolah.;Kewargaan, Penalaran Kritis
Fase A;2;Ganjil;Akhlak / Bab 3;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu mempraktikkan perilaku jujur saat bermain dan disiplin dalam belajar.;Kemandirian, Kolaborasi
Fase A;2;Ganjil;Fikih / Bab 4;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu menyebutkan 5 nama salat fardu beserta jumlah rakaatnya.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase A;2;Ganjil;Fikih / Bab 4;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu mengidentifikasi waktu-waktu pelaksanaan salat fardu sehari semalam.;Penalaran Kritis, Kemandirian
Fase A;2;Ganjil;Fikih / Bab 4;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu membiasakan diri mengajak keluarga untuk salat tepat waktu.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase A;2;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu menceritakan kisah perjuangan dakwah Nabi Nuh a.s. kepada kaumnya.;Komunikasi, Kewargaan
Fase A;2;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu menjelaskan peristiwa pembuatan bahtera dan banjir besar di masa Nabi Nuh a.s.;Penalaran Kritis, Kreativitas
Fase A;2;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu meneladani ketabahan dan kesabaran luar biasa dari Nabi Nuh a.s.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase A;2;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu melafalkan Surah An-Nas dan Al-Falaq dengan tajwid dasar yang benar.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase A;2;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu menghafalkan Surah An-Nas dan Al-Falaq dengan lancar.;Kemandirian, Penalaran Kritis
Fase A;2;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu menjelaskan pesan pokok memohon perlindungan kepada Allah pada surah tersebut.;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
Fase A;2;Genap;Akidah / Bab 7;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu menyebutkan nama 10 malaikat Allah beserta artinya.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase A;2;Genap;Akidah / Bab 7;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu menjodohkan nama malaikat dengan tugas-tugas yang diembannya secara tepat.;Penalaran Kritis, Kreativitas
Fase A;2;Genap;Akidah / Bab 7;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu menunjukkan sikap meyakini keberadaan malaikat yang selalu mengawasi perbuatan manusia.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kesehatan
Fase A;2;Genap;Akhlak / Bab 8;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu menjelaskan pentingnya sikap peduli dan gemar berbagi kepada sesama.;Kewargaan, Komunikasi
Fase A;2;Genap;Akhlak / Bab 8;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu mengidentifikasi contoh perbuatan berbagi makanan atau alat tulis dengan teman.;Penalaran Kritis, Kolaborasi
Fase A;2;Genap;Akhlak / Bab 8;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu mempraktikkan sikap empati dengan menolong teman yang membutuhkan.;Kewargaan, Kolaborasi
Fase A;2;Genap;Fikih / Bab 9;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu mengidentifikasi urutan gerakan salat fardu mulai dari takbiratul ihram hingga salam.;Penalaran Kritis, Kemandirian
Fase A;2;Genap;Fikih / Bab 9;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu melafalkan bacaan-bacaan pendek dalam gerakan salat secara bertahap.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase A;2;Genap;Fikih / Bab 9;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu mendemonstrasikan gerakan salat fardu secara tertib dan tumakninah.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kesehatan
Fase A;2;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu menceritakan kisah masa kecil Nabi Ibrahim a.s. dalam mencari Tuhan.;Komunikasi, Penalaran Kritis
Fase A;2;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu menjelaskan peristiwa keberanian Nabi Ibrahim menentang Raja Namrud.;Penalaran Kritis, Kewargaan
Fase A;2;Genap;Sejarah Peradaban Islam / Bab 10;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu meneladani keteguhan iman dan keberanian membela kebenaran dari Nabi Ibrahim a.s.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase B;3;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mampu membaca surah-surah pendek atau ayat Al-Qur'an dan menjelaskan pesan pokoknya dengan baik serta mengenal hukum tajwid dasar.;Peserta didik mampu membaca Surah Al-Kautsar dan Al-Asr secara tartil dan fasih.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase B;3;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mampu membaca surah-surah pendek atau ayat Al-Qur'an dan menjelaskan pesan pokoknya dengan baik serta mengenal hukum tajwid dasar.;Peserta didik mampu menghafalkan Surah Al-Kautsar dan Al-Asr beserta terjemahannya.;Kemandirian, Penalaran Kritis
Fase B;3;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mampu membaca surah-surah pendek atau ayat Al-Qur'an dan menjelaskan pesan pokoknya dengan baik serta mengenal hukum tajwid dasar.;Peserta didik mampu menjelaskan pesan pokok tentang mensyukuri nikmat dan menghargai waktu dari kedua surah tersebut.;Penalaran Kritis, Kewargaan
Fase B;3;Ganjil;Akidah / Bab 2;Peserta didik memahami sifat-sifat bagi Allah, beberapa asmaulhusna, mengenal kitab-kitab Allah, para nabi dan rasul Allah yang wajib diimani.;Peserta didik mampu menyebutkan 4 kitab suci yang diturunkan Allah beserta rasul penerimanya.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase B;3;Ganjil;Akidah / Bab 2;Peserta didik memahami sifat-sifat bagi Allah, beberapa asmaulhusna, mengenal kitab-kitab Allah, para nabi dan rasul Allah yang wajib diimani.;Peserta didik mampu menjelaskan pengertian dan fungsi diturunkannya kitab-kitab Allah bagi manusia.;Penalaran Kritis, Komunikasi
Fase B;3;Ganjil;Akidah / Bab 2;Peserta didik memahami sifat-sifat bagi Allah, beberapa asmaulhusna, mengenal kitab-kitab Allah, para nabi dan rasul Allah yang wajib diimani.;Peserta didik mampu menunjukkan sikap mencintai Al-Qur'an sebagai pedoman hidup sehari-hari.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kewargaan
Fase B;3;Ganjil;Akhlak / Bab 3;Peserta didik menghormati dan berbakti kepada orang tua dan guru, serta memahami arti keragaman, toleransi, dan menunjukkan sikap mandiri.;Peserta didik mampu menjelaskan arti dan ciri-ciri anak yang mandiri dan pantang menyerah.;Penalaran Kritis, Komunikasi
Fase B;3;Ganjil;Akhlak / Bab 3;Peserta didik menghormati dan berbakti kepada orang tua dan guru, serta memahami arti keragaman, toleransi, dan menunjukkan sikap mandiri.;Peserta didik mampu membedakan perilaku mandiri dan manja melalui studi kasus sederhana.;Penalaran Kritis, Kolaborasi
Fase B;3;Ganjil;Akhlak / Bab 3;Peserta didik menghormati dan berbakti kepada orang tua dan guru, serta memahami arti keragaman, toleransi, dan menunjukkan sikap mandiri.;Peserta didik mampu menunjukkan sikap mandiri dalam menyiapkan keperluan sekolah dan belajar.;Kemandirian, Kesehatan
Fase B;3;Ganjil;Fikih / Bab 4;Peserta didik dapat melaksanakan salat fardu, salat berjamaah, puasa, serta memahami hal-hal yang membatalkannya beserta zikir dan doa.;Peserta didik mampu mengidentifikasi hal-hal yang dapat membatalkan wudu.;Penalaran Kritis, Kesehatan
Fase B;3;Ganjil;Fikih / Bab 4;Peserta didik dapat melaksanakan salat fardu, salat berjamaah, puasa, serta memahami hal-hal yang membatalkannya beserta zikir dan doa.;Peserta didik mampu mengidentifikasi hal-hal yang dapat membatalkan salat fardu.;Penalaran Kritis, Keimanan dan Ketakwaan terhadap Tuhan YME
Fase B;3;Ganjil;Fikih / Bab 4;Peserta didik dapat melaksanakan salat fardu, salat berjamaah, puasa, serta memahami hal-hal yang membatalkannya beserta zikir dan doa.;Peserta didik mampu mempraktikkan kehati-hatian dalam menjaga kesucian wudu dan kekhusyukan salat.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase B;3;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menceritakan masa kanak-kanak dan remaja Nabi Muhammad saw. hingga hijrah ke Madinah dan para sahabat.;Peserta didik mampu menceritakan peristiwa penting yang terjadi pada masa remaja Nabi Muhammad saw.;Komunikasi, Penalaran Kritis
Fase B;3;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menceritakan masa kanak-kanak dan remaja Nabi Muhammad saw. hingga hijrah ke Madinah dan para sahabat.;Peserta didik mampu menjelaskan alasan Nabi Muhammad saw diberi gelar Al-Amin.;Penalaran Kritis, Kewargaan
Fase B;3;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menceritakan masa kanak-kanak dan remaja Nabi Muhammad saw. hingga hijrah ke Madinah dan para sahabat.;Peserta didik mampu meneladani sifat jujur dan dapat dipercaya (Al-Amin) dalam pergaulan sehari-hari.;Kewargaan, Kolaborasi
Fase B;3;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mampu membaca surah-surah pendek atau ayat Al-Qur'an dan menjelaskan pesan pokoknya dengan baik serta mengenal hukum tajwid dasar.;Peserta didik mampu menyebutkan pembagian hukum bacaan Nun Mati/Tanwin (Idzhar, Ikhfa, Idgham, Iqlab).;Kemandirian, Penalaran Kritis
Fase B;3;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mampu membaca surah-surah pendek atau ayat Al-Qur'an dan menjelaskan pesan pokoknya dengan baik serta mengenal hukum tajwid dasar.;Peserta didik mampu mengidentifikasi contoh hukum Idzhar dan Ikhfa dalam ayat-ayat Al-Qur'an.;Penalaran Kritis, Kreativitas
Fase B;3;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mampu membaca surah-surah pendek atau ayat Al-Qur'an dan menjelaskan pesan pokoknya dengan baik serta mengenal hukum tajwid dasar.;Peserta didik mampu mempraktikkan cara membaca Idzhar dan Ikhfa dengan makhraj dan dengung yang tepat.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase B;3;Genap;Akidah / Bab 7;Peserta didik memahami sifat-sifat bagi Allah, beberapa asmaulhusna, mengenal kitab-kitab Allah, para nabi dan rasul Allah yang wajib diimani.;Peserta didik mampu melafalkan Asmaul Husna Al-'Alim dan Al-Khabir beserta maknanya.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase B;3;Genap;Akidah / Bab 7;Peserta didik memahami sifat-sifat bagi Allah, beberapa asmaulhusna, mengenal kitab-kitab Allah, para nabi dan rasul Allah yang wajib diimani.;Peserta didik mampu menjelaskan bukti bahwa Allah Maha Mengetahui dan Maha Teliti atas segala ciptaan-Nya.;Penalaran Kritis, Kewargaan
Fase B;3;Genap;Akidah / Bab 7;Peserta didik memahami sifat-sifat bagi Allah, beberapa asmaulhusna, mengenal kitab-kitab Allah, para nabi dan rasul Allah yang wajib diimani.;Peserta didik mampu menerapkan perilaku hati-hati dalam berbuat karena merasa diawasi Allah.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase B;3;Genap;Akhlak / Bab 8;Peserta didik menghormati dan berbakti kepada orang tua dan guru, serta memahami arti keragaman, toleransi, dan menunjukkan sikap mandiri.;Peserta didik mampu mengidentifikasi adab-adab yang baik saat bertamu ke rumah orang lain.;Penalaran Kritis, Kewargaan
Fase B;3;Genap;Akhlak / Bab 8;Peserta didik menghormati dan berbakti kepada orang tua dan guru, serta memahami arti keragaman, toleransi, dan menunjukkan sikap mandiri.;Peserta didik mampu mengidentifikasi adab memuliakan tamu sesuai sunnah Rasulullah.;Penalaran Kritis, Komunikasi
Fase B;3;Genap;Akhlak / Bab 8;Peserta didik menghormati dan berbakti kepada orang tua dan guru, serta memahami arti keragaman, toleransi, dan menunjukkan sikap mandiri.;Peserta didik mampu mempraktikkan etika bertamu dan menerima tamu melalui simulasi (bermain peran).;Komunikasi, Kolaborasi
Fase B;3;Genap;Fikih / Bab 9;Peserta didik dapat melaksanakan salat fardu, salat berjamaah, puasa, serta memahami hal-hal yang membatalkannya beserta zikir dan doa.;Peserta didik mampu melafalkan bacaan istighfar dan tasbih setelah selesai salat fardu.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
